Season,Unnamed: 0,Date,home,visitor,FT,hgoal,vgoal,hconf,vconf,totgoal,round,leg,hgoalaet,vgoalaet,hpen,vpen,hwins
2019,0,2019-03-02,Philadelphia,Toronto FC,1-3,1,3,east,east,4,regular,,,,,,a
2019,1,2019-03-02,Orlando City,NYCFC,2-2,2,2,east,east,4,regular,,,,,,t
2019,2,2019-03-02,FC Dallas,New England,1-1,1,1,west,east,2,regular,,,,,,t
2019,3,2019-03-02,Columbus,NY Red Bulls,1-1,1,1,east,east,2,regular,,,,,,t
2019,4,2019-03-02,Vancouver,Minnesota,2-3,2,3,west,west,5,regular,,,,,,a
2019,5,2019-03-02,Colorado,Portland,3-3,3,3,west,west,6,regular,,,,,,t
2019,6,2019-03-02,Houston,Real Salt Lake,1-1,1,1,west,west,2,regular,,,,,,t
2019,7,2019-03-02,LA Galaxy,Chicago,2-1,2,1,west,east,3,regular,,,,,,h
2019,8,2019-03-02,Seattle,FC Cincinnati,4-1,4,1,west,east,5,regular,,,,,,h
2019,9,2019-03-02,San Jose,Montreal,1-2,1,2,west,east,3,regular,,,,,,a
2019,10,2019-03-03,D.C. United,Atlanta,2-0,2,0,east,east,2,regular,,,,,,h
2019,11,2019-03-03,Los Angeles FC,Sporting KC,2-1,2,1,west,west,3,regular,,,,,,h
2019,12,2019-03-09,Chicago,Orlando City,1-1,1,1,east,east,2,regular,,,,,,t
2019,13,2019-03-09,New England,Columbus,0-2,0,2,east,east,2,regular,,,,,,a
2019,14,2019-03-09,FC Dallas,LA Galaxy,2-0,2,0,west,west,2,regular,,,,,,h
2019,15,2019-03-09,Houston,Montreal,2-1,2,1,west,east,3,regular,,,,,,h
2019,16,2019-03-09,Real Salt Lake,Vancouver,1-0,1,0,west,west,1,regular,,,,,,h
2019,17,2019-03-09,San Jose,Minnesota,0-3,0,3,west,west,3,regular,,,,,,a
2019,18,2019-03-09,Seattle,Colorado,2-0,2,0,west,west,2,regular,,,,,,h
2019,19,2019-03-10,Sporting KC,Philadelphia,2-0,2,0,west,east,2,regular,,,,,,h
2019,20,2019-03-10,NYCFC,D.C. United,0-0,0,0,east,east,0,regular,,,,,,t
2019,21,2019-03-10,Atlanta,FC Cincinnati,1-1,1,1,east,east,2,regular,,,,,,t
2019,22,2019-03-10,Los Angeles FC,Portland,4-1,4,1,west,west,5,regular,,,,,,h
2019,23,2019-03-16,Chicago,Seattle,2-4,2,4,east,west,6,regular,,,,,,a
2019,24,2019-03-16,Columbus,FC Dallas,1-0,1,0,east,west,1,regular,,,,,,h
2019,25,2019-03-16,Houston,Vancouver,3-2,3,2,west,west,5,regular,,,,,,h
2019,26,2019-03-16,NY Red Bulls,San Jose,4-1,4,1,east,west,5,regular,,,,,,h
2019,27,2019-03-16,Orlando City,Montreal,1-3,1,3,east,east,4,regular,,,,,,a
2019,28,2019-03-16,D.C. United,Real Salt Lake,5-0,5,0,east,west,5,regular,,,,,,h
2019,29,2019-03-16,LA Galaxy,Minnesota,3-2,3,2,west,west,5,regular,,,,,,h
